date,symbol,price_source,dte_range,open,high,low,close,volume,vwap,vwap_diff,cur_price,avg_iv,atm_call_iv,atm_put_iv,skew,iv_hv_diff,iv_30d,iv_45d,iv_60d,iv_term_slope,hv10,hv20,hv60,avg_delta,avg_gamma,avg_theta,avg_vega,avg_rho,gex,gex_call,gex_put,dex,pcr_oi,pcr_vol,call_oi,put_oi,max_pain,pain_diff,rsi14,beta,week52_pos,vol_ratio,ret_1d,ret_5d,ret_20d,atr14,ma20,ma50,ma200,price_vs_ma200,golden_cross,days_to_earn,sample_count,call_vol,put_vol
2026-06-12,MMM,yfinance,30-45,159.87,159.99,156.27,158.32,4576700.0,158.3599,-0.03,158.32,0.3075,0.3227,0.2907,-0.032,0.0955,0.4085,0.3844,0.3927,-0.0158,0.1458,0.212,0.241,0.4929,0.013219,-0.053636,0.114496,-0.009576,7461.71,26467.21,19005.5,17573690.99,0.7181,1.0104,7988,5736,150.0,5.26,66.88,1.095,56.16,1.15,0.26,2.97,9.66,3.93,152.93,148.78,156.21,1.35,0.0,39.0,19,,
2026-06-12,AOS,yfinance,30-45,59.15,59.62,58.42,59.08,1646700.0,59.0551,0.04,59.08,0.2855,0.2724,0.2986,0.0262,0.0048,0.5049,,,,0.3077,0.2807,0.2955,0.4972,0.030679,-0.017836,0.034507,-0.036007,-3217.85,1423.14,4640.99,-8827060.09,3.2611,0.2535,1329,4334,60.0,-1.56,58.2,1.175,13.62,1.02,0.72,3.29,1.91,1.3729,57.27,60.52,67.2,-12.08,0.0,48.0,2,,
2026-06-12,ABT,yfinance,30-45,89.62,90.29,87.07,88.18,13758700.0,87.7804,0.46,88.18,0.3388,0.29,0.3733,0.0833,0.0674,0.3686,0.3691,0.4355,0.0669,0.3086,0.2714,0.2702,0.5134,0.028192,-0.037636,0.079084,-0.01667,5782.83,14551.35,8768.52,11942651.25,0.6026,0.2767,6638,4000,90.0,-2.06,52.49,0.62,10.65,1.14,-1.64,-3.17,3.86,2.055,88.07,91.11,113.48,-22.29,0.0,34.0,29,,
2026-06-12,ABBV,yfinance,30-45,227.5,228.4,224.32,227.73,4084500.0,226.2354,0.66,227.73,0.2724,0.2396,0.2929,0.0533,0.0569,0.403,0.3771,0.3924,-0.0106,0.2629,0.2155,0.233,0.5114,0.008788,-0.065632,0.147247,-0.029655,11279.92,43351.33,32071.41,28824127.69,0.7398,0.3471,9512,7037,210.0,7.79,65.74,0.309,82.33,0.77,1.32,0.22,8.05,5.345,218.22,210.53,217.77,4.57,0.0,48.0,13,,
2026-06-12,ACN,yfinance,30-45,168.44,171.77,164.65,170.28,4038700.0,170.1295,0.09,170.28,0.5826,0.5494,0.6135,0.0641,0.131,0.6707,0.6182,0.6135,-0.0572,0.4823,0.4516,0.4245,0.5032,0.007611,-0.112203,0.135296,-0.046636,18409.38,24160.38,5751.0,71478340.24,0.238,1.1683,10948,2606,180.0,-5.71,42.25,1.069,6.9,0.81,1.65,-4.47,3.84,7.6114,177.59,181.2,226.61,-24.86,0.0,6.0,27,,
2026-06-12,ADBE,yfinance,30-45,202.4,205.65,196.9,204.02,25030700.0,202.4536,0.77,204.02,0.4263,0.437,0.4157,-0.0213,-0.1636,0.5443,0.5373,0.5494,0.0051,0.5707,0.5899,0.4617,0.5013,0.00621,-0.078564,0.123441,-0.059749,42732.91,98023.07,55290.16,169081403.62,0.5641,1.0043,37922,21390,245.0,-20.09,32.54,1.404,-0.0,3.57,-6.76,-18.86,-13.92,11.905,246.06,244.89,298.34,-31.61,0.0,90.0,24,,
2026-06-12,AMD,yfinance,30-45,499.69,521.71,494.0,511.57,31553100.0,511.3795,0.04,511.57,0.7608,0.7407,0.7795,0.0388,-0.0462,0.7937,0.7949,0.8217,0.028,0.9264,0.807,0.7726,0.5001,0.001927,-0.417883,0.407458,-0.083365,89781.13,677597.11,587815.98,455465110.31,0.8675,0.5469,134363,116560,350.0,31.58,57.23,2.492,92.74,0.99,4.73,9.69,13.76,35.0586,481.97,386.78,253.93,101.46,1.0,53.0,83,,
2026-06-12,AES,yfinance,30-45,14.68,14.71,14.66,14.68,5947900.0,14.6858,-0.04,14.68,0.4837,0.1114,0.6325,0.5211,0.4317,0.7665,0.5537,0.5993,-0.1672,0.0409,0.052,0.0503,0.5504,0.178526,-0.008842,0.011274,-0.004724,774.46,2182.56,1408.1,1626478.23,0.6452,12.0602,5673,3660,14.0,4.63,50.0,0.946,67.78,0.64,0.07,0.07,1.52,0.0536,14.66,14.44,14.04,4.56,1.0,48.0,7,,
2026-06-12,AFL,yfinance,30-45,116.55,118.39,115.66,117.8,2576900.0,117.7373,0.05,117.8,0.1989,0.1973,0.2002,0.0029,-0.0002,0.2977,0.2328,0.3535,0.0558,0.2192,0.1991,0.1741,0.4979,0.029922,-0.030356,0.096967,-0.014758,4160.53,8096.84,3936.31,5876992.52,0.4862,0.5063,1950,948,115.0,2.38,49.84,0.61,98.02,0.95,1.16,-0.37,1.74,2.5043,115.88,114.27,110.21,6.89,1.0,55.0,20,,
2026-06-12,A,yfinance,30-45,130.33,130.42,128.3,129.84,2288100.0,129.366,0.37,129.84,0.3269,0.3063,0.3474,0.0411,-0.2772,0.4726,,0.4217,-0.0509,0.2711,0.6041,0.4323,0.4986,0.014855,-0.051231,0.087321,-0.050741,4630.49,8712.53,4082.04,11970097.62,0.4685,9.6875,3479,1630,135.0,-3.97,68.62,1.256,42.62,0.84,0.22,-4.13,14.64,5.3564,126.06,120.16,129.99,-0.12,0.0,75.0,6,,
