date,vix_close,vix_ret1d,vix_ret5d,vix9d_close,vix9d_ret1d,vix9d_ret5d,vix3m_close,vix3m_ret1d,vix3m_ret5d,spy_close,spy_ret1d,spy_ret5d,qqq_close,qqq_ret1d,qqq_ret5d,iwm_close,iwm_ret1d,iwm_ret5d,tlt_close,tlt_ret1d,tlt_ret5d,tnx_close,tnx_ret1d,tnx_ret5d,uup_close,uup_ret1d,uup_ret5d,gld_close,gld_ret1d,gld_ret5d,vix_term_spread,vix_backwardation,vix_above20,vix_above30,spy_golden_cross,spy_price_vs_ma200,spy_pcr_vol,spy_gex_call,spy_gex_put,spy_gex,qqq_gex_call,qqq_gex_put,qqq_gex,iwm_gex_call,iwm_gex_put,iwm_gex,sec_tech_ret1d,sec_tech_ret5d,sec_fin_ret1d,sec_fin_ret5d,sec_health_ret1d,sec_health_ret5d,sec_energy_ret1d,sec_energy_ret5d,sec_indus_ret1d,sec_indus_ret5d,sec_cons_disc_ret1d,sec_cons_disc_ret5d,sec_cons_stap_ret1d,sec_cons_stap_ret5d,sec_util_ret1d,sec_util_ret5d,sec_material_ret1d,sec_material_ret5d,sec_realestate_ret1d,sec_realestate_ret5d,sec_comm_ret1d,sec_comm_ret5d
2026-06-12,17.68,-9.05,-17.81,17.26,-16.46,-27.84,20.51,-4.25,-6.0,741.75,0.54,0.57,721.34,0.59,2.31,292.95,0.87,4.01,85.77,-0.24,0.83,4.487,0.54,-1.08,27.95,0.0,-0.25,386.54,0.06,-2.45,3.25,0,0,0,1,8.43,0.8344,17743129.31,27203465.73,-9460336.43,9371862.04,10711965.14,-1340103.1,3275163.31,7311766.56,-4036603.25,0.87,2.5,1.37,1.99,-0.18,0.52,0.75,-0.21,0.59,1.15,0.26,1.51,0.65,2.85,1.09,0.41,1.87,3.06,0.98,1.48,-0.42,-0.02
2026-06-15,16.2,-8.37,-14.38,15.58,-9.73,-20.87,19.36,-5.61,-6.88,754.83,1.76,2.11,744.0,3.14,3.9,294.64,0.82,3.95,85.72,-0.06,1.3,4.469,-0.4,-1.82,27.97,0.07,-0.21,396.55,2.59,-0.18,3.78,0,0,0,1,10.25,0.8892,21361435.12,24449066.1,-3087630.98,10928829.9,9357717.6,1571112.3,3446706.44,7460306.87,-4013600.43,3.78,4.13,0.41,3.06,-0.6,0.16,-3.48,-4.77,1.42,2.91,1.69,2.76,-0.4,2.9,0.47,2.8,0.61,5.08,-0.82,2.18,0.48,0.99
2026-06-16,16.41,1.3,-17.41,15.77,-8.63,-19.91,19.53,-4.78,-6.06,750.33,-0.6,1.8,729.86,-1.9,3.11,292.08,-0.87,2.72,86.19,0.55,1.26,4.428,-1.31,-2.72,27.93,-0.14,-0.29,397.63,0.27,1.75,3.76,0,0,0,1,9.51,1.1194,27823442.35,37070641.52,-9247199.17,12142118.53,14702402.83,-2560284.3,3552231.58,9297965.31,-5745733.73,-2.79,3.14,1.47,3.6,0.03,-1.05,-0.34,-3.54,0.65,2.42,-0.09,2.24,0.13,1.77,0.72,2.46,0.42,3.84,0.24,0.29,0.12,0.75
2026-06-17,18.44,12.37,-17.01,18.63,7.94,-5.38,20.62,0.54,-0.82,740.96,-1.25,2.14,722.51,-1.01,4.15,289.88,-0.75,3.02,86.33,0.16,1.71,4.463,-0.53,-1.96,28.18,0.9,0.46,388.6,-2.27,3.74,1.99,1,0,0,1,8.06,0.6951,26427537.75,43306436.46,-16878898.71,12754857.51,14278779.49,-1523921.98,3555682.03,10358561.45,-6802879.42,-0.34,5.19,-0.55,3.48,-1.46,-1.4,-1.25,-6.15,-0.14,5.86,-2.51,1.76,-2.23,-2.12,-1.33,1.05,-1.33,4.88,-2.51,-2.27,-2.78,-1.63
2026-06-18,16.4,-11.06,-15.64,13.93,-19.29,-29.25,19.57,-4.58,-5.87,746.74,0.78,1.22,740.62,2.51,3.28,295.59,1.97,2.03,86.75,0.49,0.9,4.451,-0.8,-2.22,28.3,0.43,1.25,387.12,-0.38,0.21,5.64,0,0,0,1,8.82,1.1159,8958196.01,8937384.5,20811.52,2187146.9,2309628.22,-122481.32,226332.79,182503.56,43829.23,3.04,4.49,-0.89,1.81,-0.87,-3.04,-1.65,-5.86,0.73,3.29,1.45,0.74,-0.45,-2.31,0.67,1.61,-0.4,1.15,-0.25,-2.36,0.23,-2.38
2026-06-22,17.28,5.37,-2.26,16.29,16.94,-5.62,19.76,0.97,-3.66,744.39,-0.31,0.61,737.95,-0.36,2.3,298.18,0.88,2.03,86.09,-0.76,0.37,4.509,1.3,0.49,28.36,0.21,1.47,384.59,-0.65,-0.5,3.47,0,0,0,1,8.67,1.0478,9448200.07,10112997.98,-664797.91,2131938.97,2596358.25,-464419.27,250507.71,181490.66,69017.05,0.37,3.98,0.24,0.67,0.44,-2.44,0.54,-6.06,0.49,3.19,-1.89,-1.42,-1.34,-4.24,-0.09,0.43,-0.37,-1.07,0.36,-2.95,-2.37,-4.29
2026-06-23,19.49,12.79,20.31,13.93,-25.23,-32.58,19.57,-5.09,-8.64,733.58,-1.45,-2.56,713.65,-3.29,-3.97,295.32,-0.96,0.23,86.2,0.13,0.56,4.493,0.94,0.13,28.45,0.32,1.72,377.32,-1.89,-4.85,5.64,0,0,0,1,7.02,1.0254,8630896.27,11819977.83,-3189081.56,1797816.02,2956029.19,-1158213.18,259407.29,207721.54,51685.75,-4.14,-3.85,0.34,0.95,1.41,-0.03,0.74,-1.26,-2.01,-0.05,-1.03,-3.87,1.87,-1.38,0.78,1.38,-1.45,-2.74,1.41,0.09,0.38,-4.14
2026-06-24,18.63,-4.41,13.53,18.07,29.72,4.69,20.37,4.09,-0.68,733.24,-0.05,-2.03,710.62,-0.42,-2.53,296.69,0.46,1.58,87.38,1.37,1.38,4.402,-1.1,-1.89,28.53,0.28,2.15,365.92,-3.02,-7.97,2.3,0,0,0,1,6.89,1.0136,8691929.64,12918632.8,-4226703.16,2918829.84,2733641.77,185188.07,295891.93,400064.53,-104172.61,-0.62,-1.7,-0.3,-0.81,0.77,0.71,-1.63,-2.54,1.16,0.45,1.15,-2.67,0.86,-0.66,1.04,1.71,0.57,-2.6,-0.29,-0.44,-0.68,-4.9
2026-06-25,18.89,1.4,2.44,17.92,28.64,3.82,20.33,3.88,-0.88,734.3,0.14,-0.64,716.38,0.81,-0.74,298.91,0.75,3.12,87.35,-0.03,1.18,4.392,-1.33,-2.12,28.48,-0.18,1.06,369.46,0.97,-4.93,2.41,0,0,0,1,6.98,1.1372,7125508.04,10884074.76,-3758566.73,1815343.44,2683519.26,-868175.82,77665.04,335776.47,-258111.43,0.83,-0.54,-0.5,-0.76,1.49,3.72,0.97,-0.35,2.17,2.77,-1.49,-1.66,-0.59,1.01,0.68,3.78,1.33,0.03,0.18,2.3,-0.9,-3.06
2026-06-26,18.41,-2.54,12.26,16.8,20.6,-2.67,20.13,2.86,-1.85,728.99,-0.72,-2.38,706.52,-1.38,-4.5,299.83,0.31,1.43,87.36,0.01,0.7,4.372,-1.77,-2.56,28.46,-0.07,0.57,373.63,1.13,-3.48,3.33,0,0,0,1,6.14,1.2132,6644679.62,12793522.44,-6148842.82,1681523.75,2954302.23,-1272778.48,174623.06,427956.96,-253333.9,-1.87,-5.28,0.22,0.35,3.03,7.8,-0.46,0.85,-1.59,0.41,0.9,-2.19,0.92,2.4,0.76,3.88,-0.46,-0.03,1.46,4.05,0.57,-2.74
